"genre","year","budget","gross","number","score","runtime"
"Action",2006,68444444.4444444,160324833.805556,36,6.38611111111111,113.916666666667
"Action",2007,81312500,230827553.5625,32,6.453125,116.15625
"Action",2008,70678913.0434783,191394704.413043,46,6.45652173913043,109.065217391304
"Action",2009,78005000,261929220.375,40,6.3025,112.1
"Action",2010,68846808.5106383,176121188.765957,47,6.28085106382979,108.340425531915
"Action",2011,70859183.6734694,199767223.591837,49,6.30816326530612,110.857142857143
"Action",2012,8.4e+07,255054270.604651,43,6.37441860465116,111.837209302326
"Action",2013,79845098.0392157,208822681.470588,51,6.45490196078431,116.058823529412
"Action",2014,76614285.7142857,267150685.214286,56,6.45178571428571,115.125
"Action",2015,83963044.75,308339277.083333,48,6.50208333333333,116.666666666667
"Action",2016,82698275.862069,225597128.844828,58,6.39137931034483,114.620689655172
"Action",2017,114689473.684211,397528295.105263,38,6.59736842105263,121.552631578947
"Action",2018,81187500,311008315.625,48,6.42083333333333,115.229166666667
"Action",2019,95332352.9411765,370015876.088235,34,6.34705882352941,116.441176470588
"Action",2020,108900000,354631514.2,5,6.68,126.2
"Adventure",1980,15900000,30638489.8,5,6.2,128.6
"Adventure",1981,10166666.6666667,23431975.8333333,6,5.98333333333333,113.833333333333
"Adventure",1982,9250000,31144927,2,7.25,97.5
"Adventure",1983,16714285.7142857,30261273.8571429,7,5.52857142857143,114.571428571429
"Adventure",1984,2.3e+07,19542066.375,8,6.3875,120.875
"Adventure",1985,22541666.6666667,57417953.4166667,12,6.625,108.166666666667
"Adventure",1986,18500000,14949731.4444444,9,6.25555555555556,105.666666666667
"Adventure",1987,13940000,31369645.6,5,5.54,97
"Adventure",1988,18021666.6666667,7524484.66666667,6,5.81666666666667,108.5
"Adventure",1989,21083333.3333333,62686919,12,6.14166666666667,101.916666666667
"Adventure",1990,24142857.1428571,101490790.285714,7,6.64285714285714,124.857142857143
"Adventure",1991,23583333.3333333,71769942.6666667,6,6.23333333333333,110.5
"Adventure",1992,36100000,67495230.8,10,5.78,112.3
"Adventure",1993,17012500,50818259.5,8,5.85,101.25
"Adventure",1994,35885714.2857143,27644725.4285714,7,5.87142857142857,111.571428571429
"Adventure",1995,3.3e+07,126790644,7,6.58571428571429,111.285714285714
"Adventure",1996,37003000,59638690.5,10,5.85,103.3
"Adventure",1997,25500000,72149004.4285714,7,5.88571428571429,98
"Adventure",1998,31416666.6666667,21051029.3333333,6,5.83333333333333,95
"Adventure",1999,47857142.8571429,75041999.1428571,7,6.57142857142857,103.571428571429
"Adventure",2000,49300000,114545690.8,10,5.98,106.4
"Adventure",2001,43528571.4285714,178817396.857143,7,6.05714285714286,106.571428571429
"Adventure",2002,33437500,173349091.25,8,5.8875,105.375
"Adventure",2003,48136363.6363636,92077834.6363636,11,6.38181818181818,111.818181818182
"Adventure",2004,75600000,257402556.8,5,6.54,105.2
"Adventure",2005,64214285.7142857,245002212.071429,14,6.36428571428571,112.5
"Adventure",2006,49692307.6923077,115960615.769231,13,6.5,104.692307692308
"Adventure",2007,50666666.6666667,111982290.444444,9,6.31111111111111,108.222222222222
"Adventure",2008,47454545.4545455,82580295,11,5.68181818181818,101.545454545455
"Adventure",2009,49208333.3333333,153381027.166667,12,6.63333333333333,107.5
"Adventure",2010,78062500,251887636.5,8,6.2875,107.5
"Adventure",2011,61414285.7142857,348677152.857143,7,6.47142857142857,113.428571428571
"Adventure",2012,61200000,270513137,12,6.56666666666667,112.416666666667
"Adventure",2013,110875000,287141463.75,8,6.775,121.75
"Adventure",2014,86625000,324284691.25,8,7.125,121.375
"Adventure",2015,47375000,145916806.5,8,6.2625,111.375
"Adventure",2016,136333333.333333,436575816.333333,6,6.91666666666667,117.166666666667
"Adventure",2017,16425000,150779987.75,4,6.6,108.5
"Adventure",2018,89500000,201078983.666667,6,6.2,109.833333333333
"Adventure",2019,70381818.1818182,245045437.363636,11,6.55454545454545,106.727272727273
"Adventure",2020,1.55e+08,178296625,2,6.2,100.5
"Animation",1981,1.2e+07,63456988,1,7.3,83
"Animation",1982,5250000,10560531.5,2,7.5,87
"Animation",1983,4600000,395631,2,6.55,79
"Animation",1985,15750000,13811242.75,4,6.475,89.25
"Animation",1986,1e+07,22243075.5,2,7.25,79
"Animation",1988,29300000,129741767.5,4,7.5,83.25
"Animation",1989,29600000,79937168.6666667,3,7.16666666666667,84
"Animation",1990,3e+07,27931461,1,6.9,77
